mattername,ground_truth_question,rubric
Epstein (1),"How did Lesley Groff describe the relationship between Jeffrey Epstein and Ghislaine Maxwell, according to the Lesley Groff FD-302 proffer interview?",1. The response should state that Lesley Groff described Epstein and Ghislaine Maxwell as confidants. (1 point)
Epstein (1),"What follow-up applies to Code 2 inmates, according to the MCC New York Chief Psychologist FD-302?",1. The response should state that Psychological Services follows up monthly with Code 2 inmates. (1 point)
Epstein (1),"Did Lesley Groff travel with Jeffrey Epstein, according to the Lesley Groff FD-302 proffer interview?",1. The response should state that Lesley Groff did not travel with Jeffrey Epstein. (1 point)
Epstein (1),"Which mental-health institution is named in the South Australian complainant's 2017 unlawful-detention claim, according to the South Australian complainant submission?",1. The answer should state it was Glenside Mental Health Institution (1 point)
Epstein (1),"What date of entry appears on the FBI's report of Lesley Groff's proffer interview, according to the Lesley Groff FD-302 proffer interview?","1. The response should state that the report's date of entry was September 24, 2021. (1 point)"
Epstein (1),"What media outlet aired a panel discussion on Jeffrey Epstein featuring Kimberly B. Mehlman-Orozco on August 9, 2019, according to Dr. Kimberly B. Mehlman-Orozco's CV?","1. Did the response identify the ABC (1 point)
2. Did the response mention the name of the show: This Week with George Stephanopoulos. (1 point)"
Epstein (1),"Which company published the South Australian complainant's first novel, Reality, according to the South Australian complainant submission?",1. The response should identify Austin Macauley Publishers as the company that published Reality. (1 point)
Epstein (1),"Who are the Plaintiffs/Counterclaim Defendants in the Broward County case against Alan Dershowitz (No. CACE 15-000072), according to the Dershowitz clarification motion?","1. The response should identify Bradley J. Edwards as a Plaintiff/Counterclaim Defendant. (1 point)
2. The response should identify Paul G. Cassell as a Plaintiff/Counterclaim Defendant. (1 point)"
Epstein (1),"What happened after Lesley Groff attended a party with her husband in her first month working for Epstein, according to the Lesley Groff FD-302 proffer interview? And why?","1. The response should state that Epstein told Groff he was going to fire her but instead placed her on probation. (1 point)
2. The response should explain that this followed Epstein learning she had attended a party with her husband. (1 point)
3. The response should mention the stated workplace rationale that Groff had to keep herself separate or not fraternize with Epstein's contacts. (1 point)"
Epstein (1),"When did former President Bill Clinton leave office, according to the Dershowitz clarification motion?","1. The response should state that former President Bill Clinton left office on January 20, 2001. (1 point)
2. The response should not leave the answer as an unconverted Excel serial date such as 36892. (1 point)"
Epstein (1),"Did Jeffrey Epstein's accuser in the 2008 litigation state she was ever paid more than $200 per visit by him, according to the Palm Beach interrogatory-answers notice?","1. The response should answer yes, the accuser stated she was paid more than $200 on one occasion. (1 point)
2. The response should state that the amount on that occasion was $300 instead of $200. (1 point)"
Epstein (1),"How was Jeffrey Epstein described to Lesley Groff before she met him, according to the Lesley Groff FD-302 proffer interview?",1. The response should state that Jeffrey Epstein was described to Lesley Groff as a Manhattan socialite. (1 point)
Epstein (1),"What was the title of the South Australian complainant's first novel, according to the South Australian complainant submission?",1. The response should identify the title of the first novel as Reality. (1 point)
Epstein (1),"What conditions apply to inmates on Suicide Watch, according to the MCC New York Chief Psychologist FD-302?","1. The response should mention constant watch for inmates on Suicide Watch. (1 point)
2. The response should mention the special mattress, blanket, and smock. (1 point)
3. The response should mention that cell lights are on 24/7. (1 point)"
Epstein (1),"Who is named as defendant in the 2008 Palm Beach civil case (No. 50 2008 CA 028058), according to the Palm Beach interrogatory-answers notice?",1. The response should identify Jeffrey Epstein as the defendant in the 2008 Palm Beach civil case. (1 point)
Epstein (1),"Where did federal prosecutors interview the Chief Psychologist of MCC New York, according to the MCC New York Chief Psychologist FD-302?","1. The response should identify Saint Andrews Plaza in New York, NY 10007 as the interview location. (1 point)
2. The response should identify the location as the U.S. Attorney's Office for the Southern District of New York. (1 point)"
Epstein (1),"Where did the South Australian woman who alleged a sexual-abuse ring linked to Epstein and Maxwell live between 2017 and 2022, according to the South Australian complainant submission?","1. The response should state that the South Australian woman lived in Kadina, South Australia. (1 point)"
Epstein (1),"In the Epstein estate sex-abuse suit (Doe v. Indyke & Kahn, 19-cv-10476-PGG, SDNY), what remedy does the plaintiff seek to preserve by opposing the defendants' motion to dismiss damages?",1. The response should state that the plaintiff sought to preserve punitive damages. (1 point)
Epstein (1),"Who were the attorneys working in Jeffrey Epstein's office, according to the Lesley Groff FD-302 proffer interview?","1. The response should identify Darren Indyke as one of the attorneys working in Epstein's office. (1 point)
2. The response should identify Jeff Schantz as one of the attorneys working in Epstein's office. (1 point)"
Epstein (1),"What type of computers were initially used in Jeffrey Epstein's office, according to the Lesley Groff FD-302 proffer interview?",1. The response should state that Jeffrey Epstein's office initially used PCs rather than Apple computers. (1 point)
Epstein (1),"On approximately what date were the interrogatories propounded to the plaintiff in the 2008 Epstein litigation, according to the Palm Beach interrogatory-answers notice?","1. The response should state that the interrogatories were propounded on or about December 10, 2008. (1 point)"
Epstein (1),"How are Code 3 inmates managed, according to the MCC New York Chief Psychologist FD-302?","1. The response should state that Code 3 inmates are seen weekly. (1 point)
2. The response should state that unstable Code 3 inmates are moved to observation. (1 point)
3. The response should state that inmates are hospitalized if deterioration continues. (1 point)"
Epstein (1),"Who was designated Special Master for fees in the Palm Beach settlement of the 2008 Epstein civil case (No. 50 2008 CA 028058), according to the 2009 Epstein settlement agreement?","1. The response should identify Sidney Stubbs, Esq. as the designated Special Master for fees. (1 point)"
Epstein (1),"When did Jeffrey Epstein plead guilty to two state felonies, according to the U.S. v. Epstein bail/detention decision?","1. The answer should state that there's no date for when he did this in the Bali/detention decision. (1 point)
2. Bonus: Should clarify that the two state felonies he pleaded guilty to involved minor girls in Florida. (1 point)"
Epstein (1),"What type of relationship did Black have with Epstein, according to the Dechert LLP Epstein/Black/Apollo report?",1. Response mentions that Black had a social relationship with Epstein (1 point)
Epstein (1),"What time period do the release provisions of the Palm Beach settlement of the 2008 Epstein civil case cover, according to the 2009 Epstein settlement agreement?",1. The response should state that the release provisions covered the period from the beginning of the world to the day of the release. (1 point)
Epstein (1),"What is the case number of the 2008 Palm Beach civil case against Jeffrey Epstein, according to the Palm Beach interrogatory-answers notice?",1. The response should identify the case number as 50 2008 CA 028058 XXXXMB AD. (1 point)
Epstein (1),"What document did Lesley Groff have to sign before working for Jeffrey Epstein, according to the Lesley Groff FD-302 proffer interview?",1. The response should state that Lesley Groff had to sign a non-disclosure agreement before working for Epstein. (1 point)
Epstein (1),"How did Maxwell groom minor victims according to victim interviews, according to the Ghislaine Maxwell investigation overview?","1. The response should state that Maxwell groomed minor victims by befriending them or developing rapport first. (1 point)
2. The response should state that Maxwell then attempted to normalize sexual abuse. (1 point)"
Epstein (1),"What does the Chief Psychologist of MCC New York ensure regarding forensic reports, according to the MCC New York Chief Psychologist FD-302?",1. The response should state that the Chief Psychologist ensures forensic reports are completed or sent out on time. (1 point)
Epstein (1),"Under what circumstances may the Palm Beach settlement of the 2008 Epstein civil case be disclosed in legal proceedings, according to the 2009 Epstein settlement agreement?",1. The response should state that the Palm Beach settlement may be disclosed in legal proceedings only to enforce the Settlement Agreement. (1 point)
Epstein (1),"How does the FBI's Legat London office characterize the intensity of media attention on the Prince Andrew matter, according to the Prince Andrew media-interest email?",1. The response should state that media attention on the Prince Andrew matter ebbed and flowed with every new rumor. (1 point)
Epstein (1),"Who was the Member for Narungga, according to the South Australian complainant submission?",1. The response should identify Fraser Ellis MP as the Member for Narungga. (1 point)
Epstein (1),"What is the title of the December 2008 court filing serving an Epstein accuser's better answers to interrogatories, according to the Palm Beach interrogatory-answers notice?",1. The response should give the filing title as Notice of Service of Plaintiff's Unverified Better Answers to Defendant's Interrogatories. (1 point)
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, how did public relations considerations allegedly affect her treatment by the government?","1. The response should state that Maxwell's filing alleged public-relations imperatives affected or drove the government's treatment of her. (1 point)
2. The response should characterize the alleged treatment as wildly inappropriate and unconstitutional, or equivalent wording. (1 point)"
Epstein (1),"What does the Eighth Amendment prohibit, according to the U.S. v. Tartaglione surveillance-footage letter?",1. The response should state that the Eighth Amendment prohibits cruel and unusual punishment. (1 point)
Epstein (1),"Which Harvard committee is referenced in the 2017 email correspondence concerning Jeffrey Epstein, according to the Epstein/Harvard/MIT Media Lab email?",1. The response should identify the Harvard Mind Brain Behavior committee. (1 point)
Epstein (1),"According to the ABC 7.30 broadcast about Jeffrey Epstein, what was said about his plea agreement's effect on potential co-conspirators and related allegations?","1. The response should state that other potential allegations might not end up being tested in court. (1 point)
2. The response should mention that this could apply to possible co-conspirators. (1 point)
3. The response should mention that alleged victims were not involved in the plea-agreement arrangement. (1 point)"
Epstein (1),"On what date was Ghislaine Maxwell first mentioned in the FBI case file related to the Jeffrey Epstein investigation, according to the Ghislaine Maxwell investigation overview?","1. The response should state that Maxwell was first mentioned in the FBI case file on April 23, 2019, or 04/23/2019. (1 point)"
Epstein (1),"What police station is referenced in connection with Detective Leigh Gwilym, according to the South Australian complainant submission?",1. The response should identify the Port Pirie Police Department as the referenced police station. (1 point)
Epstein (1),"Who was identified as the trader in Jeffrey Epstein's office, according to the Lesley Groff FD-302 proffer interview?",1. The response should identify Harry Beller as the trader in Jeffrey Epstein's office. (1 point)
Epstein (1),"On which count was Maxwell found not guilty, according to the Ghislaine Maxwell investigation overview?","1. The response should identify Count 2 as the count on which Maxwell was found not guilty. (1 point)
2. The response should name the count as enticement of a minor to travel to engage in illegal sex acts, or an equivalent formulation. (1 point)"
Epstein (1),"What occurred after Epstein completed the PSIQ, according to the MCC New York Chief Psychologist FD-302?","1. The response should state that Epstein did not mark anything on his PSIQ. (1 point)
2. The response should state that, if he had not been Epstein, he would have been sent to general population and classified Care Code 1. (1 point)"
Epstein (1),"Who may recover fees in a dispute to enforce the Palm Beach settlement of the 2008 Epstein civil case, according to the 2009 Epstein settlement agreement?",1. The response should state that the prevailing party may recover fees in a dispute to enforce the settlement. (1 point)
Epstein (1),"In the SDNY FOIA tracking document (filtered for Epstein), what primary request did Sai LNU make, according to the SDNY Epstein FOIA tracking log?",1. The response should state that Sai LNU requested all records about Jeffrey E. Epstein. (1 point)
Epstein (1),"Who retained Dechert LLP as independent council, according to the Dechert LLP Epstein/Black/Apollo report?","1. The response mentions that the Conflicts Committee of Apollo Global Management, Inc. (""Apollo"") retained Dechert LLP (""Dechert"")"
Epstein (1),"About how many times did Jeffrey Epstein's accuser in the 2008 litigation say she was interviewed by the FBI or U.S. Attorney's Office, according to the Palm Beach interrogatory-answers notice?","1. The response should state that the accuser said she was interviewed approximately 8 to 10 times. (1 point)
2. The response should identify the interviewers as the FBI or the U.S. Attorney's Office. (1 point)"
Epstein (1),"Did Maxwell testify during the trial, according to the Ghislaine Maxwell investigation overview?",1. The response should state that Maxwell did not testify during the trial. (1 point)
Epstein (1),"What did New Mexico's Public Safety Department advise in August 2010, according to the U.S. v. Epstein defense letter?","1. The response should state that New Mexico's Public Safety Department advised Epstein that he was not required to register in New Mexico. (1 point)
2. The response should connect that advice to his 2008 Florida conviction for procuring a person under 18 for prostitution. (1 point)"
Epstein (1),"What right does a defendant in a capital case have, according to the U.S. v. Tartaglione surveillance-footage letter?",1. The response should state that a defendant in a capital case has a constitutionally protected right to present mitigating evidence to the jury. (1 point)
Epstein (1),"Which detective at the Port Pirie Police Department is named in the South Australian abuse-ring allegations connected to Epstein and Maxwell, according to the South Australian complainant submission?","1. The response should identify Detective Leigh Gwilym as the named detective. (1 point)
2. The response should connect him to the Port Pirie Police Department context if additional detail is provided. (1 point)"
Epstein (1),"According to Leon Black, how much value did Jeffrey Epstein's advice generate for him?",1. Response mentions that Epstein's advice generated more than $1 billion and as much as $2 billion or more in value (1 point)
Epstein (1),"What did Leigh Sales say about recent royal scandals, according to the ABC '7.30' transcript exhibit?","1. The response should state that Leigh Sales said Britain's royal family had not been embroiled in a serious scandal for a few years. (1 point)
2. The response should mention that Prince Andrew had again stepped forward or become involved in a serious scandal. (1 point)"
Epstein (1),"How many interrogatories (numbered 1 to 26) were propounded to the plaintiff in the 2008 Epstein litigation, according to the Palm Beach interrogatory-answers notice?","1. The response should state that interrogatories numbered 1 to 26 were propounded to the plaintiff. (1 point)
2. The response should include that the numbering was inclusive, or otherwise make clear there were 26 interrogatories. (1 point)"
Epstein (1),"In a September 2017 email regarding Epstein from Epstein's assistant Lesley, and emailed to Jeff hawkins, who does Epstein say may be contacted at the MIT Media Lab for more information, according to the Epstein/Harvard/MIT Media Lab email?","1. The response should identify Jim as one person who could be contacted at the MIT Media Lab. (1 point)
2. The response should identify Joi Ito, or the source spelling ""Joit Ito,"" as the other person who could be contacted at the MIT Media Lab. (1 point)"
Epstein (1),"How long has the current Chief Psychologist served at MCC New York, according to the MCC New York Chief Psychologist FD-302?",1. The response should state that the Chief Psychologist had served at MCC New York for 11 years. (1 point)
Epstein (1),"Who found Lesley Groff's resume before she was hired by Jeffrey Epstein, according to the Lesley Groff FD-302 proffer interview?",1. The response should state that a headhunter named Russell found Lesley Groff's resume. (1 point)
Epstein (1),"Did the Dechert investigation find evidence that any Apollo Global Management executive besides Leon Black retained Jeffrey Epstein for advisory services, according to the Dechert LLP Epstein/Black/Apollo report?","1. The response should state that the Dechert investigation found no evidence that any Apollo executive other than Leon Black retained Epstein. (1 point)
2. The response should keep the answer specific to advisory services and should not imply another Apollo executive retained Epstein. (1 point)"
Epstein (1),"What address is listed for Professor Alan Dershowitz at Harvard Law School, according to the Dershowitz clarification motion?","1. The response should provide the Harvard Law School street address: 1575 Massachusetts Avenue, Hauser Hall 518. (1 point)
2. The response should include Cambridge, MA 02138. (1 point)"
Epstein (1),"What staff does the Chief Psychologist of MCC New York oversee, according to the MCC New York Chief Psychologist FD-302?","1. The response should mention that the Chief Psychologist oversaw three forensic psychologists and one staff psychologist. (1 point)
2. The response should mention that she also oversaw a drug abuse coordinator and a drug treatment specialist. (1 point)"
Epstein (1),"What statement did Detective Leigh Gwilym allegedly make in relation to the South Australian abuse-ring allegations connected to Epstein and Maxwell, according to the South Australian complainant submission?","1. The response should state that Detective Leigh Gwilym allegedly said he could not investigate. (1 point)
2. The response should include the alleged reason: police officers were involved. (1 point)"
Epstein (1),"What was the date of Louis Freeh's letter to Professor Alan Dershowitz, according to the Dershowitz clarification motion?","1. The response should state that Louis Freeh's letter to Professor Alan Dershowitz was dated January 22, 2016. (1 point)"
Epstein (1),"What were the counts in the initial June 29, 2020 federal indictment of Ghislaine Maxwell, according to the Ghislaine Maxwell investigation overview?","1. The response should include conspiracy to entice minors. (1 point)
2. The response should include enticement of a minor. (1 point)
3. The response should include conspiracy to transport minors. (1 point)
4. The response should include transportation of a minor. (1 point)
5. The response should include the two perjury counts. (1 point)"
Epstein (1),"What stock purchase did an Epstein entity make, according to the Dechert LLP Epstein/Black/Apollo report?","1. Response mentions that one of his entities purchased 263,257 shares of Apollo's stock (1 point)
2. Response mentions that it was purchased at its IPO (1 point)"
Epstein (1),"What amount did Jeffrey Epstein pay under the 2009 settlement of his S.D. Fla. case (No. 09-CV-80656), according to the 2009 Epstein settlement agreement?","1. The response should state that Epstein paid $500,000.00 under the 2009 settlement agreement. (1 point)"
Epstein (1),"Which agreement regarding Jeffrey Epstein's obligations is referenced in the 2009 settlement of his S.D. Fla. case (No. 09-CV-80656), according to the 2009 Epstein settlement agreement?","1. The response should identify the Non-Prosecution Agreement as the referenced agreement. (1 point)
2. The response should also mention the Addendum and Affirmation. (1 point)
3. The response should connect the agreement to Jeffrey Epstein and the United States Attorney for the Southern District of Florida. (1 point)"
Epstein (1),"Where were the funds paid under the 2009 settlement of Epstein's S.D. Fla. case (No. 09-CV-80656), according to the 2009 Epstein settlement agreement?","1. The response should state that the settlement funds were paid to the plaintiff's attorneys' trust account. (1 point)
2. The response should state that the funds were to remain there pending dismissal of the case. (1 point)"
Epstein (1),"Which island associated with Jeffrey Epstein is mentioned in the motion, according to the Dershowitz clarification motion?",1. The response should identify Little St. James Island as the island mentioned. (1 point)
Epstein (1),"What form do all inmates complete, according to the MCC New York Chief Psychologist FD-302?","1. The response should identify the form as the Psychological Services Intake Questionnaire, or PSIQ. (1 point)"
Epstein (1),"In the plaintiff's memorandum in Case No. 19-cv-10476-PGG concerning the Jeffrey Epstein sex-trafficking operation, what type of operation is referenced?","Did the response identify the type of operation referenced?
a. States the same sex-trafficking operation that the indictment concerned (1 point)"
Epstein (1),What did Terri Fry suggest about sending additional information on Jeffrey Epstein in the 2017 email correspondence?,"Did the response convey what Terri Fry suggested?
a. States she suggested sending another email with more info on Jeffrey (Epstein) (1 point)"
Epstein (1),Which motion by Darren K. Indyke and Richard D. Kahn does the plaintiff oppose in Case No. 19-cv-10476-PGG?,"Did the response identify the motion the plaintiff opposes?
a. Identifies the defendants' (Indyke and Kahn) motion to dismiss the complaint (1 point)"
Epstein (1),How much did Jeffrey Epstein pay his accuser after her trip involving Prince Andrew?,"Did the response give the correct amount?
a. States approximately $15,000 (1 point)"
Epstein (1),How is Ghislaine Maxwell described in the defense filing seeking bail or challenging her detention conditions?,"Did the response convey how Maxwell is described?
a. Describes her as a law-abiding U.S. citizen with no criminal history (1 point)
b. Notes she is 59 years old (1 point)"
Epstein (1),"In the Maxwell defense expert disclosure, how is hindsight bias defined?","Did the response correctly define hindsight bias?
a. States it is the tendency to overestimate how predictable/foreseeable an event was after learning the outcome (1 point)"
Epstein (1),What relationship is described between Jeffrey Epstein and Dr. Jim Watson?,"Did the response convey the relationship described?
a. States Epstein is described as great/close friends with Dr. Jim Watson (1 point)"
Epstein (1),How will the lawsuit be dismissed under the 2009 settlement of Epstein's S.D. Fla. case (No. 09-CV-80656)?,"Did the response convey how the lawsuit would be dismissed?
a. States the case (Jane Doe No. 102 v. Epstein, 09-CV-80656) is dismissed with prejudice (1 point)
b. States dismissal is upon payment/clearance of the settlement amount (1 point)
c. Notes the Court is requested to retain jurisdiction to enforce the settlement (1 point)"
Epstein (1),What did Knisely say when asked about extended hours?,"Did the response convey what Knisely said?
a. States Jeffrey should 'hang tough' (1 point)
b. States house arrest would be dealt with at the end of the month (1 point)"
Epstein (1),"In Ghislaine Maxwell's bail/detention filing, what actions did the U.S. Attorney's Office take instead of asking her to voluntarily surrender?","Did the response convey what the USAO did instead of asking her to surrender?
a. States she was arrested by a SWAT team (1 point)
b. Characterizes the tactics as unnecessary / intentionally showy (1 point)"
Epstein (1),What was Epstein's code word for sexual encounters?,"Did the response identify the code word?
a. States the code word was 'massage' (1 point)"
Epstein (1),What did the Chief Psychologist of MCC New York say contributed to Epstein's death?,"Did the response identify what the MCC Chief Psychologist said contributed to Epstein's death?
a. Identifies lack of a cellmate (1 point)
b. Identifies understaffing (1 point)"
Epstein (1),"According to the defense expert disclosure in US v. Ghislaine Maxwell, what factors can distort human memory?","Did the response identify the factors that can distort memory?
a. Identifies post-event information, suggestion, and/or influence (1 point)"
Epstein (1),What suggestive subject line appears in 2010 email correspondence attributed to Ghislaine Maxwell?,"Did the response reproduce the suggestive subject line?
a. Reproduces 'Re: MMm, lets heat things up again baby xoxo' (minor punctuation/case variation acceptable) (1 point)"
Epstein (1),What significant legal action occurred on August 8 regarding Epstein?,"Did the response identify the legal action?
a. States Epstein signed a new Last Will and Testament (1 point)"
Epstein (1),On what date was the defense expert disclosure letter submitted in United States v. Ghislaine Maxwell?,"Did the response give the correct date?
a. States November 1, 2021 (1 point)"
Epstein (1),How many years of forensic psychiatry experience does Dr. Park Dietz have according to the defense expert disclosure?,"Did the response give the correct experience?
a. States over 40 years of experience (1 point)"
Epstein (1),"According to Ghislaine Maxwell's bail/detention filing, what did the government concede regarding the basis for her detention?","Did the response convey what the government conceded?
a. States the government conceded it was not seeking detention based on danger to the community (1 point)"
Epstein (1),Who was Jeffrey Epstein's cellmate at the time of his July 2019 suicide attempt?,"Did the response identify the cellmate?
a. Identifies Nicholas Tartaglione (1 point)"
Epstein (1),What did the examination of Ghislaine Maxwell's inmate email account reveal regarding allegations that Metropolitan Detention Center staff deleted emails?,"Did the response convey what the email examination revealed?
a. States there was no evidence MDC staff deleted any of her emails (1 point)"
