ground_truth_question
"How did Leon Black first meet Jeffrey Epstein, according to the Dechert LLP Epstein/Black/Apollo report?"
"Where did federal prosecutors interview the Chief Psychologist of MCC New York, according to the MCC New York Chief Psychologist FD-302?"
"Where did the South Australian woman who alleged a sexual-abuse ring linked to Epstein and Maxwell live between 2017 and 2022, according to the South Australian complainant submission?"
"In the Epstein estate sex-abuse suit (Doe v. Indyke & Kahn, 19-cv-10476-PGG, SDNY), what remedy does the plaintiff seek to preserve by opposing the defendants' motion to dismiss damages?"
"Who were the attorneys working in Jeffrey Epstein's office, according to the Lesley Groff FD-302 proffer interview?"
"What type of computers were initially used in Jeffrey Epstein's office, according to the Lesley Groff FD-302 proffer interview?"
"On approximately what date were the interrogatories propounded to the plaintiff in the 2008 Epstein litigation, according to the Palm Beach interrogatory-answers notice?"
"How are Code 3 inmates managed, according to the MCC New York Chief Psychologist FD-302?"
"Who was designated Special Master for fees in the Palm Beach settlement of the 2008 Epstein civil case (No. 50 2008 CA 028058), according to the 2009 Epstein settlement agreement?"
"When did Jeffrey Epstein plead guilty to two state felonies, according to the U.S. v. Epstein bail/detention decision?"
"What type of relationship did Black have with Epstein, according to the Dechert LLP Epstein/Black/Apollo report?"
"What time period do the release provisions of the Palm Beach settlement of the 2008 Epstein civil case cover, according to the 2009 Epstein settlement agreement?"
"What is the case number of the 2008 Palm Beach civil case against Jeffrey Epstein, according to the Palm Beach interrogatory-answers notice?"
"What document did Lesley Groff have to sign before working for Jeffrey Epstein, according to the Lesley Groff FD-302 proffer interview?"
"How did Maxwell groom minor victims according to victim interviews, according to the Ghislaine Maxwell investigation overview?"
"What does the Chief Psychologist of MCC New York ensure regarding forensic reports, according to the MCC New York Chief Psychologist FD-302?"
"Under what circumstances may the Palm Beach settlement of the 2008 Epstein civil case be disclosed in legal proceedings, according to the 2009 Epstein settlement agreement?"
"How does the FBI's Legat London office characterize the intensity of media attention on the Prince Andrew matter, according to the Prince Andrew media-interest email?"
"Who was the Member for Narungga, according to the South Australian complainant submission?"
"What is the title of the December 2008 court filing serving an Epstein accuser's better answers to interrogatories, according to the Palm Beach interrogatory-answers notice?"
"According to Ghislaine Maxwell's bail/detention filing, how did public relations considerations allegedly affect her treatment by the government?"
"What does the Eighth Amendment prohibit, according to the U.S. v. Tartaglione surveillance-footage letter?"
"Which Harvard committee is referenced in the 2017 email correspondence concerning Jeffrey Epstein, according to the Epstein/Harvard/MIT Media Lab email?"
"According to the ABC 7.30 broadcast about Jeffrey Epstein, what was said about his plea agreement's effect on potential co-conspirators and related allegations?"
"On what date was Ghislaine Maxwell first mentioned in the FBI case file related to the Jeffrey Epstein investigation, according to the Ghislaine Maxwell investigation overview?"
"What police station is referenced in connection with Detective Leigh Gwilym, according to the South Australian complainant submission?"
"Who was identified as the trader in Jeffrey Epstein's office, according to the Lesley Groff FD-302 proffer interview?"
"On which count was Maxwell found not guilty, according to the Ghislaine Maxwell investigation overview?"
"What occurred after Epstein completed the PSIQ, according to the MCC New York Chief Psychologist FD-302?"
"Who may recover fees in a dispute to enforce the Palm Beach settlement of the 2008 Epstein civil case, according to the 2009 Epstein settlement agreement?"
"In the SDNY FOIA tracking document (filtered for Epstein), what primary request did Sai LNU make, according to the SDNY Epstein FOIA tracking log?"
"Who retained Dechert LLP as independent council, according to the Dechert LLP Epstein/Black/Apollo report?"
"About how many times did Jeffrey Epstein's accuser in the 2008 litigation say she was interviewed by the FBI or U.S. Attorney's Office, according to the Palm Beach interrogatory-answers notice?"
"Did Maxwell testify during the trial, according to the Ghislaine Maxwell investigation overview?"
"What did New Mexico's Public Safety Department advise in August 2010, according to the U.S. v. Epstein defense letter?"
"What right does a defendant in a capital case have, according to the U.S. v. Tartaglione surveillance-footage letter?"
"Which detective at the Port Pirie Police Department is named in the South Australian abuse-ring allegations connected to Epstein and Maxwell, according to the South Australian complainant submission?"
"According to Leon Black, how much value did Jeffrey Epstein's advice generate for him?"
"What did Leigh Sales say about recent royal scandals, according to the ABC '7.30' transcript exhibit?"
"How many interrogatories (numbered 1 to 26) were propounded to the plaintiff in the 2008 Epstein litigation, according to the Palm Beach interrogatory-answers notice?"
"In a September 2017 email regarding Epstein from Epstein's assistant Lesley, and emailed to Jeff hawkins, who does Epstein say may be contacted at the MIT Media Lab for more information, according to the Epstein/Harvard/MIT Media Lab email?"
"How long has the current Chief Psychologist served at MCC New York, according to the MCC New York Chief Psychologist FD-302?"
"Who found Lesley Groff's resume before she was hired by Jeffrey Epstein, according to the Lesley Groff FD-302 proffer interview?"
"Did the Dechert investigation find evidence that any Apollo Global Management executive besides Leon Black retained Jeffrey Epstein for advisory services, according to the Dechert LLP Epstein/Black/Apollo report?"
"What address is listed for Professor Alan Dershowitz at Harvard Law School, according to the Dershowitz clarification motion?"
"What staff does the Chief Psychologist of MCC New York oversee, according to the MCC New York Chief Psychologist FD-302?"
"What statement did Detective Leigh Gwilym allegedly make in relation to the South Australian abuse-ring allegations connected to Epstein and Maxwell, according to the South Australian complainant submission?"
"What was the date of Louis Freeh's letter to Professor Alan Dershowitz, according to the Dershowitz clarification motion?"
"What were the counts in the initial June 29, 2020 federal indictment of Ghislaine Maxwell, according to the Ghislaine Maxwell investigation overview?"
"What stock purchase did an Epstein entity make, according to the Dechert LLP Epstein/Black/Apollo report?"
"What amount did Jeffrey Epstein pay under the 2009 settlement of his S.D. Fla. case (No. 09-CV-80656), according to the 2009 Epstein settlement agreement?"
"Which agreement regarding Jeffrey Epstein's obligations is referenced in the 2009 settlement of his S.D. Fla. case (No. 09-CV-80656), according to the 2009 Epstein settlement agreement?"
"Where were the funds paid under the 2009 settlement of Epstein's S.D. Fla. case (No. 09-CV-80656), according to the 2009 Epstein settlement agreement?"
"Which island associated with Jeffrey Epstein is mentioned in the motion, according to the Dershowitz clarification motion?"
"What form do all inmates complete, according to the MCC New York Chief Psychologist FD-302?"
"In the plaintiff's memorandum in Case No. 19-cv-10476-PGG concerning the Jeffrey Epstein sex-trafficking operation, what type of operation is referenced?"
What did Terri Fry suggest about sending additional information on Jeffrey Epstein in the 2017 email correspondence?
Which motion by Darren K. Indyke and Richard D. Kahn does the plaintiff oppose in Case No. 19-cv-10476-PGG?
How much did Jeffrey Epstein pay his accuser after her trip involving Prince Andrew?
How is Ghislaine Maxwell described in the defense filing seeking bail or challenging her detention conditions?
"In the Maxwell defense expert disclosure, how is hindsight bias defined?"
What relationship is described between Jeffrey Epstein and Dr. Jim Watson?
How will the lawsuit be dismissed under the 2009 settlement of Epstein's S.D. Fla. case (No. 09-CV-80656)?
What did Knisely say when asked about extended hours?
"In Ghislaine Maxwell's bail/detention filing, what actions did the U.S. Attorney's Office take instead of asking her to voluntarily surrender?"
What was Epstein's code word for sexual encounters?
What did the Chief Psychologist of MCC New York say contributed to Epstein's death?
"According to the defense expert disclosure in US v. Ghislaine Maxwell, what factors can distort human memory?"
What suggestive subject line appears in 2010 email correspondence attributed to Ghislaine Maxwell?
What significant legal action occurred on August 8 regarding Epstein?
On what date was the defense expert disclosure letter submitted in United States v. Ghislaine Maxwell?
How many years of forensic psychiatry experience does Dr. Park Dietz have according to the defense expert disclosure?
"According to Ghislaine Maxwell's bail/detention filing, what did the government concede regarding the basis for her detention?"
Who was Jeffrey Epstein's cellmate at the time of his July 2019 suicide attempt?
What did the examination of Ghislaine Maxwell's inmate email account reveal regarding allegations that Metropolitan Detention Center staff deleted emails?
"In Case No. 19-cv-10476-PGG, what does the plaintiff argue regarding the defendants' motion to dismiss the punitive-damages claim?"
On what date did the arrest recorded under Arrest ID M21609870-Q occur?
What explanation did Epstein give about the incident involving the bedsheet?
What did Douglas Montero request?
How frequently do Metropolitan Detention Center staff search Ghislaine Maxwell's cell for contraband?
"In the April 6, 2021 Government letter on Ghislaine Maxwell's MDC confinement (US v. Maxwell, 20 Cr. 330), what BOP policy specifies the timeframe for the deletion of inmate emails?"
How does the Metropolitan Detention Center provide drinking water to inmates during periods of city water maintenance?
What relief did Ghislaine Maxwell's bail filing argue she should receive regarding her detention status?
"According to Ghislaine Maxwell's bail/detention filing, what detention practice allegedly interfered with her sleep?"
What organization has Kimberly B. Mehlman-Orozco served as CEO of since Fall 2019?
"After the FBI Legat London email about Prince Andrew, what did the DOJ Attache ask regarding the Manhattan DA's (DANY) case?"
"What date of birth was recorded for Ghislaine Maxwell at her March 29, 2021 arrest?"
"What Arrest ID was recorded for Ghislaine Maxwell's arrest on March 29, 2021?"
What conclusion did Louis Freeh draw from the absence of Secret Service records?
Where in Australia did FBI agents meet Jeffrey Epstein's accuser?
"What public event involving the acting U.S. Attorney occurred on the day of Ghislaine Maxwell's July 2020 arrest, per her bail filing?"
What did the DOJ OIG find regarding falsified documentation by BOP staff in its investigation of Jeffrey Epstein's August 2019 death at MCC New York?
What was observed around Epstein's neck on July 23?
What did Gogger tell Jack regarding house arrest?
How is Dr. Elizabeth Loftus identified in the defense expert disclosure filed in US v. Ghislaine Maxwell?
How did Ghislaine Maxwell's bail/detention filing describe her behavior and risk profile as an inmate?
What did Thomas Volscho request?
Why was Epstein assigned to the SHU on July 7?
"Who was the arresting officer for Ghislaine Maxwell's March 29, 2021 arrest?"
"According to Ghislaine Maxwell's bail/detention filing, what claim was made about whether she would have been charged if Jeffrey Epstein were still alive?"
"In the plaintiff's memorandum opposing dismissal in Case No. 19-cv-10476-PGG, which introductory section appears immediately before the Statement of Facts?"
What reasons were documented for declining a Desk Appearance Ticket to Ghislaine Maxwell on her NYPD arrest report (M21609870 - Q)?
"What did inmates with a direct line of sight to Epstein's cell door report after the SHU staff returned Epstein
to his cell on August 9?"
"What is the full name of the person arrested inside 40 Centre Street on March 29, 2021 (Arrest ID M21609870-Q)?"
Why does processing inmate mail at the Metropolitan Detention Center sometimes take multiple days?
What did Lady Victoria once claim Maxwell had done?
When did the Metropolitan Detention Center in Brooklyn resume in-person visitation in 2021?
"In the Maxwell defense expert disclosure, how can the halo effect influence legal judgments and evaluations of individuals?"
"In Virginia Giuffre's family's April 2025 statement, what did they say about the impact years of abuse had on her?"
"In the Maxwell defense expert disclosure, what does Dr. Dietz state about scientific support for grooming-by-proxy?"
What aspects of human memory does Dr. Elizabeth Loftus propose to address in her expert testimony?
What did Metropolitan Detention Center staff report regarding Ghislaine Maxwell's alleged hair loss?
"In the Maxwell defense expert disclosure, what issue does Dr. Dietz identify about the definition of grooming?"
How does the Maxwell defense expert disclosure define dissociation?
"According to Ghislaine Maxwell's bail/detention filing, why was she allegedly unable to adequately prepare for trial?"
How many recommendations did the DOJ Office of the Inspector General make to the Bureau of Prisons in its review of Jeffrey Epstein's August 2019 death at MCC New York?
What publication is the source of the April 2025 article reporting Lady Victoria Hervey's reaction to Virginia Giuffre's death?
"In the plaintiff's opposition memo in the Epstein estate suit (19-cv-10476, SDNY), in which section are the legal arguments presented?"
Where was Epstein later found dead?
What did the U.S. Secret Service response say about records responsive to Louis Freeh's FOIA request on Bill Clinton's travel?
How much time per day is Ghislaine Maxwell permitted to review discovery materials while detained at the Metropolitan Detention Center?
What activity does the VTC room camera record during Ghislaine Maxwell's attorney video conferences?
"According to Ghislaine Maxwell's bail/detention filing, how old were the allegations underlying the charges against her?"
What did Jeffrey Epstein's accuser say he told her about his connections?
In what year did Jeffrey Epstein's accuser say she first met Ghislaine Maxwell?
How has Mr. Tartaglione described his conduct?
How was Epstein positioned when found?
"According to the defense filing, with whom was Ghislaine Maxwell communicating prior to her arrest in July 2020?"
"Who signed for the United States the April 6, 2021 Government letter on Ghislaine Maxwell's conditions of confinement (US v. Maxwell, 20 Cr. 330)?"
To which criminal offenses did Jeffrey Epstein plead guilty in 2008?
What fake identity was allegedly used against the South Australian woman who claimed she was targeted by a sexual-abuse ring linked to Epstein and Maxwell?
"In the Maxwell defense expert disclosure by Dr. Park Dietz, what concern is raised about using the term 'grooming' in litigation?"
"To which facility was Epstein's cellmate transferred on August 9, 2019?"
What was requested by Johannes Perterer?
"According to Ghislaine Maxwell's bail/detention filing, what problem was described regarding the preparation of her food?"
What is Ghislaine Maxwell required to do during each pat-down search conducted by Metropolitan Detention Center staff?
"According to Ghislaine Maxwell's bail/detention filing, what physical and mental effects was she alleged to be experiencing while detained?"
What did the search of Epstein’s cell after his death reveal?
Where did Jeffrey Epstein's accuser say he first flew her on his private jet after she began working exclusively for him?
How old did Jeffrey Epstein's accuser say she was when she first met Ghislaine Maxwell?
"According to Ghislaine Maxwell's bail appeal, what evidence did the defense claim the government failed to present, regarding her flight risk status, at her detention hearing?"
How did Ghislaine Maxwell's bail/detention filing characterize her conditions of confinement following her arrest?
"What occurred in the DVR 2 unit of the MCC New York security camera system on July 29, 2019, per the DOJ OIG investigation into Jeffrey Epstein's death, and what was the result?"
"According to the research cited by Dr. Elizabeth Loftus, how can false memories resemble true memories?"
Where was Epstein found hanged?
At which institution is Dr. Park Dietz identified as a clinical professor in the defense expert disclosure?
"According to Ghislaine Maxwell's bail/detention filing, what explanation was offered for why the indictment against her was brought?"
When did Epstein attempt suicide?
Who submitted a FOIA request for Secret Service records to test whether Bill Clinton had visited Little St. James Island?
"According to the grooming-by-proxy theory in the Maxwell defense expert disclosure, what role is Maxwell alleged to have played for Jeffrey Epstein?"
How are Ghislaine Maxwell's meals heated while she is detained at the Metropolitan Detention Center?
What did Epstein say about returning to his cell with Tartaglione?
What university awarded Kimberly B. Mehlman-Orozco her Doctor of Philosophy degree?
"In the plaintiff's memorandum opposing dismissal in Case No. 19-cv-10476-PGG, which section immediately precedes the Argument section?"
How did Ghislaine Maxwell's bail/detention filing characterize her isolation conditions while detained?
