ground_truth_question,field_id
"[Radio button — exact option only] Is Daniel Robert Mitchell a female?  answer exactly ""yes"" or ""no"" in lowercase

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Gender - F (female)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: gender"" (What is {{person}}'s gender?): this field and [""Respondent 1: Gender - Choose not to answer""; ""Respondent 1: Gender - X (indeterminate/intersex/unspecified)""; ""Respondent 1: Gender - M (male)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_gender_female
"[Radio button — exact option only] Has Daniel Robert Mitchell chosen not to provide their gender? answer exactly ""yes"" or ""no"" in lowercase

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Gender - Choose not to answer

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: gender"" (What is {{person}}'s gender?): this field and [""Respondent 1: Gender - X (indeterminate/intersex/unspecified)""; ""Respondent 1: Gender - M (male)""; ""Respondent 1: Gender - F (female)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_gender_choose_not_to_answer
"[Radio button — exact option only] Is Daniel Robert Mitchell's gender indeterminate, intersex or unspecified? answer exactly ""yes"" or ""no"" in lowercase

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Gender - X (indeterminate/intersex/unspecified)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Respondent 1: gender"" (What is {{person}}'s gender?): this field and [""Respondent 1: Gender - Choose not to answer""; ""Respondent 1: Gender - M (male)""; ""Respondent 1: Gender - F (female)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_gender_x
"[Checkbox — Yes/No only] Daniel Robert Mitchell is ordinarily resident in Australia? If this is correct, return exactly ""yes""

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Ordinarily resident in Australia

FIELD TYPE: checkbox. Respond with EXACTLY one of: ""Yes"" or ""No"". Do NOT return any name, label, or other text — any value other than Yes/No will be discarded.

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_ordinarily_resident_in_australia
"What is Daniel Robert Mitchell's email address?

For Respondent 1 — Daniel Robert Mitchell. Respondent 1: Email address

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",respondent_1_email
"[Radio button — exact option only] Sarah Jane Mitchell does not speak english and requires an interpreter. If this is correct, return exactly ""yes""

For Applicant 1 — Sarah Jane Mitchell. Applicant 1: Interpreter required - Yes

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Applicant 1: interpreter"" (Does {{person}} need an interpreter?): this field and [""Applicant 1: Interpreter required - No""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",applicant1_interpreter_yes
"[Radio button — exact option only] Sarah Jane Mitchell speaks english and does not require an interpreter. If this is correct, return exactly ""yes""

For Applicant 1 — Sarah Jane Mitchell. Applicant 1: Interpreter required - No

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Applicant 1: interpreter"" (Does {{person}} need an interpreter?): this field and [""Applicant 1: Interpreter required - Yes""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",applicant1_interpreter_no
"[Radio button — exact option only] Has Liam Thomas Mitchell chosen not to provide their gender? answer exactly ""yes"" or ""no"" in lowercase

For Child 2 — Liam Thomas Mitchell. Child 2: Gender - Choose not to answer

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 2: gender"" (What is {{person}}'s gender?): this field and [""Child 2: Gender - F (female)""; ""Child 2: Gender - X (indeterminate/intersex/unspecified)""; ""Child 2: Gender - M (male)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_2_gender_choose_not_to_answer
"[Radio button — exact option only] Is Liam Thomas Mitchell's gender indeterminate, intersex or unspecified? answer exactly ""yes"" or ""no"" in lowercase

For Child 2 — Liam Thomas Mitchell. Child 2: Gender - X (indeterminate/intersex/unspecified)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 2: gender"" (What is {{person}}'s gender?): this field and [""Child 2: Gender - F (female)""; ""Child 2: Gender - Choose not to answer""; ""Child 2: Gender - M (male)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_2_gender_indeterminate
"[Radio button — exact option only] Is Liam Thomas Mitchell a female?  answer exactly ""yes"" or ""no"" in lowercase

For Child 2 — Liam Thomas Mitchell. Child 2: Gender - F (female)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 2: gender"" (What is {{person}}'s gender?): this field and [""Child 2: Gender - Choose not to answer""; ""Child 2: Gender - X (indeterminate/intersex/unspecified)""; ""Child 2: Gender - M (male)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_2_gender_female
"[Radio button — exact option only] Is Liam Thomas Mitchell a male?  answer exactly ""yes"" or ""no"" in lowercase

For Child 2 — Liam Thomas Mitchell. Child 2: Gender - M (male)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 2: gender"" (What is {{person}}'s gender?): this field and [""Child 2: Gender - F (female)""; ""Child 2: Gender - Choose not to answer""; ""Child 2: Gender - X (indeterminate/intersex/unspecified)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_2_gender_male
"[Radio button — exact option only] Is Olivia Grace Mitchell's gender indeterminate, intersex or unspecified? answer exactly ""yes"" or ""no"" in lowercase

For Child 1 — Olivia Grace Mitchell. Child 1: Gender - X (indeterminate/intersex/unspecified)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 1: gender"" (What is {{person}}'s gender?): this field and [""Child 1 - Female""; ""Child 1: Gender - M (male)""; ""Child 1: Gender - Choose not to answer""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_1_gender_indeterminate
"[Radio button — exact option only] Is Olivia Grace Mitchell a female?  answer exactly ""yes"" or ""no"" in lowercase

For Child 1 — Olivia Grace Mitchell. Child 1 - Female

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 1: gender"" (What is {{person}}'s gender?): this field and [""Child 1: Gender - M (male)""; ""Child 1: Gender - Choose not to answer""; ""Child 1: Gender - X (indeterminate/intersex/unspecified)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",custom_1776587212064
"[Radio button — exact option only] Is Olivia Grace Mitchell a male? answer exactly ""yes"" or ""no"" in lowercase

For Child 1 — Olivia Grace Mitchell. Child 1: Gender - M (male)

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 1: gender"" (What is {{person}}'s gender?): this field and [""Child 1 - Female""; ""Child 1: Gender - Choose not to answer""; ""Child 1: Gender - X (indeterminate/intersex/unspecified)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_1_gender_male
"[Radio button — exact option only] Has Olivia Grace Mitchell chosen not to provide their gender? answer exactly ""yes"" or ""no"" in lowercase

For Child 1 — Olivia Grace Mitchell. Child 1: Gender - Choose not to answer

FIELD TYPE: radio button. Respond with the exact option text shown on the form, or ""No"" if not applicable. Do not return free-form text.

MUTUALLY EXCLUSIVE GROUP ""Child 1: gender"" (What is {{person}}'s gender?): this field and [""Child 1 - Female""; ""Child 1: Gender - M (male)""; ""Child 1: Gender - X (indeterminate/intersex/unspecified)""] are alternative answers to the same question — EXACTLY ONE of them may have a value. Select this option ONLY if the matter documents affirmatively indicate it is the correct answer for the group; if a sibling field holds the real value, answer ""No"".

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",child_1_gender_choose_not_to_answer
"What is the the applicants relationship to this initiating application? ""Party to a marriage"" Party to a de facto relationship"" ""Parent"" ""Grandparent"" ""Other"". State all that apply, separated by commas

For Applicant 1 — Sarah Jane Mitchell. Applicant's relationship to application

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",custom_1776828542892
"What is Imogen Forms's lawyer's code?

For Applicant - Lawyer — Imogen Forms. Lawyer's Code

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",lawyers_code
"[Checkbox — Yes/No only] The applicant is not seeking parenting orders or financial or property orders? If this correct, return Yes

1A Other (specify)

FIELD TYPE: checkbox. Respond with EXACTLY one of: ""Yes"" or ""No"". Do NOT return any name, label, or other text — any value other than Yes/No will be discarded.

Context: Form: Initiating Application.
Roles: Applicant 1 = Sarah Jane Mitchell; respondent_1 = Daniel Robert Mitchell; child_1 = Olivia Grace Mitchell; child_2 = Liam Thomas Mitchell; applicant_lawyer = Imogen Forms; applicant_law_firm = Second Up Family Law; respondent_lawyer = Victoria Sue; respondent_law_firm = Sue & Sue.",order_other
